,field_code,field,link,rows,concepts,edges
25,1003,Industrial Biotechnology,https://www.dropbox.com/scl/fi/0mfbcw7swroixu44cskea/concepts_Industrial-Biotechnology_1003.csv.gz?rlkey=uh789tgyz0i9u6u916z2m423c&st=m5loqo03&dl=1,2027734,13669,34337
26,1203,Design Practice and Management,https://www.dropbox.com/scl/fi/ih74o32g0xxxtltrvcqmz/concepts_Design-Practice-and-Management_1203.csv.gz?rlkey=ss3h9mu6eobjo2gvlgyuxcr50&st=dh9yd1ve&dl=1,2146837,22046,60047
27,1401,Economic Theory,https://www.dropbox.com/scl/fi/nj8idooieryxq6a7xco2t/concepts_Economic-Theory_1401.csv.gz?rlkey=vbzgiurvm7yoflytlidm58piw&st=87esf9bz&dl=1,2221266,7336,57703
28,1902,Film Television and Digital Media,https://www.dropbox.com/scl/fi/7o69mpmea071noxcyxu17/concepts_Film-Television-and-Digital-Media_1902.csv.gz?rlkey=rgaza3vlh8qd624knqyc9fbc1&st=f21wragu&dl=1,2125119,5920,28705
29,2003,Language Studies,https://www.dropbox.com/scl/fi/ct9f5lqu027gtlapfs8w5/concepts_Language-Studies_2003.csv.gz?rlkey=683hnoej011yctj13wux8zlmr&st=ft5tn1pm&dl=1,2309407,11016,59369
30,1504,Commercial Services,https://www.dropbox.com/scl/fi/52uzjfgkj1diulk1trr6p/concepts_Commercial-Services_1504.csv.gz?rlkey=fh82ockt744ha8e1lkdfcnveu&st=1gtsy8d5&dl=1,2303326,5252,13046
31,701,Agriculture Land and Farm Management,https://www.dropbox.com/scl/fi/jng9vw2uud9iksxc7o1h8/concepts_Agriculture-Land-and-Farm-Management_701.csv.gz?rlkey=x683aaq3n3o5r757783eyb5h5&st=i51tx5n7&dl=1,2497908,7447,39051
32,1104,Complementary and Alternative Medicine,https://www.dropbox.com/scl/fi/kt5hmpt7kfsl2us7fhtvp/concepts_Complementary-and-Alternative-Medicine_1104.csv.gz?rlkey=6tpvvs0h2n8f6mwpoiaa8vlnl&st=wk4q65m5&dl=1,3011170,9372,19526
33,1603,Demography,https://www.dropbox.com/scl/fi/dyf5n26kgqkaf0x9h7xgu/concepts_Demography_1603.csv.gz?rlkey=rmijkxh3i2gcmhfiwv8lyxair&st=akj3i1it&dl=1,3040108,6016,32225
34,1507,Transportation and Freight Services,https://www.dropbox.com/scl/fi/cnmczdkkc4gnktjkbryej/concepts_Transportation-and-Freight-Services_1507.csv.gz?rlkey=2wpv1m9iqjv6mi99h3861ququ&st=68n1kwkg&dl=1,3246066,5717,18202
35,2001,Communication and Media Studies,https://www.dropbox.com/scl/fi/29w6eqr37yg9q1zg18cav/concepts_Communication-and-Media-Studies_2001.csv.gz?rlkey=l0s521m1uncau91jhucf9mu74&st=5ot3ad3z&dl=1,3180285,6530,22542
36,805,Distributed Computing,https://www.dropbox.com/scl/fi/lt2a1lirvthwpud0iks9j/concepts_Distributed-Computing_805.csv.gz?rlkey=qz8r9av159knjonlm26lmzdo1&st=epyjgj7i&dl=1,3128604,8685,37914
37,1301,Education Systems,https://www.dropbox.com/scl/fi/upqdi0mvjwbysj7a6v8ed/concepts_Education-Systems_1301.csv.gz?rlkey=xcgqehgcu2l5hs44xihdqk6pt&st=9ducc0xa&dl=1,3276856,8010,24925
38,1501,Accounting Auditing and Accountability,https://www.dropbox.com/scl/fi/e3mzybn466t4kcxxq7vmj/concepts_Accounting-Auditing-and-Accountability_1501.csv.gz?rlkey=t26x5ea29sixmdkxe5256ry7r&st=s27qwb97&dl=1,3340608,7272,78494
39,1602,Criminology,https://www.dropbox.com/scl/fi/7igksw7lh0musskdsg734/concepts_Criminology_1602.csv.gz?rlkey=kccqkc8r9ms97gli47ydmi4os&st=j6vl9mxi&dl=1,3415077,6206,38920
40,1904,Performing Arts and Creative Writing,https://www.dropbox.com/scl/fi/e5394um8ebkr10uqnhm5m/concepts_Performing-Arts-and-Creative-Writing_1904.csv.gz?rlkey=wgny3t7nvpajdp3byh54yecre&st=kyziychh&dl=1,3418523,6834,26849
41,105,Mathematical Physics,https://www.dropbox.com/scl/fi/0lik3d2xjhbvsjb8hflnq/concepts_Mathematical-Physics_105.csv.gz?rlkey=m97eyfbxzrupjn8fs9z7m1bwz&st=mvdjptx2&dl=1,3522092,18502,49235
42,1506,Tourism,https://www.dropbox.com/scl/fi/zfyb5dhfegldeza4ji3g2/concepts_Tourism_1506.csv.gz?rlkey=0eqcisny0pgj927txymp0m7q3&st=sc2c3021&dl=1,3498691,4326,15703
43,1607,Social Work,https://www.dropbox.com/scl/fi/gbeq3rklyz5ns9dx7jwvw/concepts_Social-Work_1607.csv.gz?rlkey=1kf7yc1437mf8yf967yiwjq9a&st=boc67kmp&dl=1,3727100,4871,22672
44,699,Other Biological Sciences,https://www.dropbox.com/scl/fi/6dw2uezc342hna30rt7hq/concepts_Other-Biological-Sciences_699.csv.gz?rlkey=undlfinqtf3i8588x449bvewf&st=nu6zgmim&dl=1,3752409,12805,108933
45,1201,Architecture,https://www.dropbox.com/scl/fi/qhvtec8gmsd8afzbcn6za/concepts_Architecture_1201.csv.gz?rlkey=maeu0b0uvec2dkq412pc8e98s&st=6iqtw51m&dl=1,3828040,9637,50547
46,1004,Medical Biotechnology,https://www.dropbox.com/scl/fi/2ahmep0grwyd40mje6906/concepts_Medical-Biotechnology_1004.csv.gz?rlkey=o856n7k39g9iu4zm4gif4772q&st=6x6zo2sn&dl=1,3717673,3092,5797
